id:__nLVm_ZwF4
title:How I Lost My LOVE HANDLES And Got RIPPED!
categoryId:17
publishedAt:2016-04-03T17:37:45.000Z
location:10.990537580805299,19.480766118581407
description:►ONLINE COACHING - RamGhumanOnline@gmail.com  FOLLOW ME!  ►Facebook Page - ''Ram Ghuman" ►Instagram - https://instagram.com/ramghuman/ ►SnapChat - ramghuman ►Twitter - https://twitter.com/ramghuman
Author:Gavin James	AuthorChannelId:{value=UCbBF7JynGsa36Wl9ZSCducw}	Comment:I store fat on my love handles and chest	PublishAt:2018-01-26T02:48:31.000Z
Author:Syed Ahmed	AuthorChannelId:{value=UCmkiW7ri9LoPExQe-8xAyIA}	Comment:Useless	PublishAt:2018-01-03T23:40:20.000Z
Author:indian troller	AuthorChannelId:{value=UCjn2fiFXuFyCMaw7PbmiiSA}	Comment:9 months to reduce....😱😱😱 Honest man	PublishAt:2017-12-31T08:39:12.000Z
Author:Héctor Gallegos	AuthorChannelId:{value=UCcmKQNw-8aWk9XdpG6gQnMw}	Comment:you are my idol	PublishAt:2017-12-06T02:51:49.000Z
Author:SpaCeDuDexxx	AuthorChannelId:{value=UCIBtREaJvHeMMlYHfkQ19RQ}	Comment:Best advice ever! This is facts! Thank you so much	PublishAt:2017-12-03T14:32:50.000Z
Author:Mohamed Moussa	AuthorChannelId:{value=UCzxEYdFzTYm4tdiedZVQirQ}	Comment:Great video... Good tips.... But in my experience I have lost 14kg in 1 month... Love handles went down with it... Basically go on a diet and ur love handles will shred down..... I have lost 52kg in total and I am bodybuilding now.... And schedule is going great and fast	PublishAt:2017-11-27T10:39:44.000Z
Author:Ali Almaidan	AuthorChannelId:{value=UCbiLtGTlYe9aNh_NVVqU28w}	Comment:Whats your height bro?	PublishAt:2017-11-22T18:44:56.000Z
Author:Dragon Ball, Z y GT	AuthorChannelId:{value=UCSM3lXI5kMNlcte_F5we6cg}	Comment:You had very sexy love handles.	PublishAt:2017-11-21T08:14:33.000Z
Author:RovicSuelanVlogs	AuthorChannelId:{value=UC28tt-1Ij3JZWNOvyVNmOig}	Comment:how to i get rid of my puffy nipples?	PublishAt:2017-11-12T16:50:11.000Z
Author:Unique L. Valdez	AuthorChannelId:{value=UCVnSOQXue6j7ZuJgB96hO-A}	Comment:SMART MAN!... NOT MANY KNOW THAT ITS ALL 1 PROCESS.... Commit to it as a lifestyle journey 💪 way of life	PublishAt:2017-11-09T19:32:53.000Z
Author:shivam gupta	AuthorChannelId:{value=UCPXw1spXE84Ppld5B7Fl2Bw}	Comment:Hey ram.. I just started the gym last week, and I just want to get a lean Body, could u please suggest some exercises for this.. I would really appreciate if you could also tell me what exercise to do first	PublishAt:2017-11-03T05:48:14.000Z
Author:Bruh Bruh	AuthorChannelId:{value=UCdWqXgUiOjezA_5RR0aRf2A}	Comment:Thanks for the advice!	PublishAt:2017-10-23T22:20:17.000Z
Author:Sagar Agarwal	AuthorChannelId:{value=UCGVoh3LaoOWrZoVcpTmV7ZQ}	Comment:Behenchod..rip accent	PublishAt:2017-10-13T07:25:34.000Z
Author:AsionLeester	AuthorChannelId:{value=UCghTvUHhA4Sh-Joj5cccicw}	Comment:This guy looks like Mr. 10 pack abs. Maybe he is.	PublishAt:2017-10-08T03:31:34.000Z
Author:Melody Hours	AuthorChannelId:{value=UCZcxt57xddjSaQG9hx_ra7A}	Comment:Angrez banne ki koshish karta raha poore video me bas...	PublishAt:2017-09-27T04:35:25.000Z
Author:Aman Tandon	AuthorChannelId:{value=UCSC5MKgT-VVUouvv33tIXAg}	Comment:Please see that which exercise help you to loose love handles.	PublishAt:2017-09-23T10:42:08.000Z
Author:Neeraj Kumar	AuthorChannelId:{value=UCg_Hf7jIO88NCU9oPA82PpA}	Comment:pagal h ka lodu	PublishAt:2017-09-19T17:34:58.000Z
Author:DEBASISH Ghosh	AuthorChannelId:{value=UC0HPyaLw5YjuQgYwgCYFeIQ}	Comment:THIS VIDEO IS A COMPLETE NONSENSE PIECE OF SHIT...AND YOUR ACCENT TOO!	PublishAt:2017-09-19T05:52:08.000Z
Author:J0NT2OO3 Th0MP50n	AuthorChannelId:{value=UC4KIQzuOAqhBksamRe7TvAg}	Comment:Roida	PublishAt:2017-09-19T01:28:59.000Z
Author:prithviraj Kate	AuthorChannelId:{value=UCDLAilsQy05kxb_ON4D9Hmw}	Comment:You gave the real deal , love u man ❤️	PublishAt:2017-09-17T03:24:18.000Z
Author:it's me	AuthorChannelId:{value=UC5embI3VBPmc7UaY91LANTg}	Comment:Ripped? Dude, you barely got a six pack and act like you're the shit. douchebag	PublishAt:2017-09-02T20:34:41.000Z
Author:Rynel Acosta	AuthorChannelId:{value=UCcM_Tv7-ac7qeC8liIlxHOQ}	Comment:eat clen and tren hard. And test it and youll see results.	PublishAt:2017-08-16T16:51:16.000Z
Author:Hamato Yoshi	AuthorChannelId:{value=UCNtNFTa9wtEGIm8XkegkhOw}	Comment:is this dude learning how to talk?	PublishAt:2017-08-11T03:42:03.000Z
Author:Dets Gaming	AuthorChannelId:{value=UCrWGRMjH--QxaWK9Yds0wZA}	Comment:1:28 Lmao	PublishAt:2017-08-08T18:00:41.000Z
Author:yeraldy hernandez	AuthorChannelId:{value=UCP3BdpDhaY40qGEs8zCFxlA}	Comment:what is the diffrence between love handles and muffin tops	PublishAt:2017-08-02T19:09:59.000Z
Author:althamash mohamed	AuthorChannelId:{value=UCVw1MHlubaKtxtZxdPl04sg}	Comment:Bhai Hindi mai video karo	PublishAt:2017-07-29T19:56:11.000Z
Author:Shankar Wod	AuthorChannelId:{value=UCos1598npSqXO3tjS5Oyo5w}	Comment:Abe chutiye sidhe sidhe kaise karte he yeh toh batata nai madarchot	PublishAt:2017-07-28T22:40:51.000Z
Author:Yassin Brown	AuthorChannelId:{value=UCJvxeeyXeBO7ixMQ84bzjBg}	Comment:Your love handles are all from your belly anyway so naturally you would have to lose the belly overall then you will see your love handles leave.	PublishAt:2017-07-26T08:46:21.000Z
Author:yagnesh ravi teja yrt	AuthorChannelId:{value=UCDX4k5ERLWkuwjdkp-_nqmw}	Comment:oh man 9 months? :(    this isnt gonna be a cake walk	PublishAt:2017-07-16T00:39:27.000Z
