id:__nbHKdMPnk
title:Beyoncé’s “Love Drought” Isn’t Actually About Jay Z
categoryId:24
publishedAt:2016-06-15T16:13:14.000Z
location:12.156817515632046,170.6737081888215
description:Songwriter Ingrid Burley explains what really inspired the ‘Lemonade’ track.
Author:Zoey Von	AuthorChannelId:{value=UC0fnlm5ODrmKndvuBprs0DA}	Comment:Love it, love it , love it.... I’m feeling the lyrics	PublishAt:2018-02-18T06:27:36.000Z
Author:ayeikat	AuthorChannelId:{value=UCPtLQymMNrDAg2xNk3UdowA}	Comment:Xoxo I love her	PublishAt:2018-02-11T01:17:37.000Z
Author:biggmonie	AuthorChannelId:{value=UC8HRVoDstigrFtQ3bjiz7gA}	Comment:wow	PublishAt:2018-02-08T22:49:02.000Z
Author:Brown Brown	AuthorChannelId:{value=UCwE7XBpBXyN7fAv0lgOl8EQ}	Comment:Genius I love your videos but pay the writer respect by putting her name in the title	PublishAt:2018-02-06T13:21:28.000Z
Author:Jaynation Keep	AuthorChannelId:{value=UC0Nh6jL1OHl-sGYYrAIAgcw}	Comment:That doesn’t make sense with her explanation at all	PublishAt:2018-01-27T04:01:05.000Z
Author:Kevin Keagan	AuthorChannelId:{value=UCiJgtkfQCQ64Dy3ZbcYuzQw}	Comment:well damn	PublishAt:2018-01-09T06:31:24.000Z
Author:NaturalGlistens	AuthorChannelId:{value=UCGslncoGrCWqdO6s8QxwT-g}	Comment:I love this woman 😂	PublishAt:2017-11-25T09:33:19.000Z
Author:mrs pmf	AuthorChannelId:{value=UCghnn8O4p1UgV68Jc0nXyKg}	Comment:This woman needs to get more recognition like damn...she's an amazing lyricist.	PublishAt:2017-11-15T13:42:06.000Z
Author:Lisa Jade	AuthorChannelId:{value=UCEUm_CQ2gH5-Vne8KvCuIfw}	Comment:She hard ! This song is pure genius.	PublishAt:2017-11-15T06:25:16.000Z
Author:Lebohang Sanalwami Tshoma	AuthorChannelId:{value=UC4Vp5S8SZI8_AxNKKZu98Ug}	Comment:wow	PublishAt:2017-11-13T10:32:08.000Z
Author:Bing Bangxo	AuthorChannelId:{value=UCnNqVDgXxlHyWABDIsLJr-A}	Comment:Pure freaking GENIUS🙌🏾🙌🏾🙌🏾🙌🏾	PublishAt:2017-11-13T06:40:27.000Z
